max_strategy, risky_strategy, uniform_strategy, safe_strategy, min_strategy
603, 895, 164, 1293, 1000
927, 2246, 1566, 530, 1000
1872, 671, 756, 1413, 1000
1131, 924, 926, 857, 1000
1864, 845, 1070, 998, 1000
2704, 2878, 1744, 1444, 1000
1077, 1355, 2516, 991, 1000
633, 712, 1602, 856, 1000
818, 697, 1180, 856, 1000
481, 407, 1696, 879, 1000
3978, 773, 1111, 2193, 1000
1569, 711, 653, 1132, 1000
757, 724, 770, 513, 1000
266, 639, 1839, 1072, 1000
3723, 1890, 742, 491, 1000
523, 2219, 1307, 1168, 1000
787, 176, 281, 1830, 1000
1038, 505, 2683, 763, 1000
103, 283, 1318, 1167, 1000
8, 2557, 1442, 1751, 1000
190, 1443, 787, 1405, 1000
696, 1897, 334, 1086, 1000
316, 472, 526, 476, 1000
1041, 1173, 392, 1395, 1000
17, 357, 1058, 963, 1000
517, 343, 757, 1178, 1000
841, 535, 1670, 696, 1000
243, 2181, 1246, 935, 1000
545, 1304, 1936, 601, 1000
1111, 1355, 796, 653, 1000
295, 2141, 737, 457, 1000
33, 786, 1734, 482, 1000
226, 216, 717, 612, 1000
190, 2105, 1208, 1136, 1000
1036, 231, 1982, 1024, 1000
275, 905, 1667, 1896, 1000
184, 1943, 358, 488, 1000
2442, 1095, 967, 1627, 1000
307, 705, 459, 1257, 1000
247, 1592, 428, 167, 1000
916, 1673, 1497, 1027, 1000
173, 79, 790, 1143, 1000
870, 929, 812, 824, 1000
2441, 1087, 800, 629, 1000
6435, 1550, 1571, 782, 1000
2082, 1097, 1075, 577, 1000
228, 122, 2020, 1209, 1000
304, 48, 1157, 1700, 1000
878, 211, 901, 567, 1000
779, 684, 1176, 1200, 1000
885, 393, 1701, 879, 1000
347, 603, 1016, 627, 1000
556, 1070, 2351, 549, 1000
120, 328, 1500, 387, 1000
140, 1364, 911, 711, 1000
1726, 948, 2688, 386, 1000
70, 933, 2714, 217, 1000
7, 1871, 803, 977, 1000
242, 983, 289, 691, 1000
698, 552, 19, 1818, 1000
3538, 900, 1087, 716, 1000
465, 896, 536, 1518, 1000
1469, 402, 1060, 859, 1000
1475, 1305, 1923, 1165, 1000
2877, 1752, 269, 826, 1000
1306, 472, 1286, 1468, 1000
1153, 373, 1666, 626, 1000
276, 88, 662, 1086, 1000
168, 554, 955, 801, 1000
341, 563, 299, 1201, 1000
2135, 1610, 343, 1015, 1000
887, 238, 3662, 848, 1000
1224, 227, 791, 742, 1000
3024, 914, 1049, 1305, 1000
942, 1494, 1964, 1495, 1000
659, 935, 1233, 1071, 1000
689, 476, 696, 964, 1000
609, 1176, 731, 801, 1000
409, 1363, 499, 824, 1000
692, 1304, 914, 1762, 1000
4152, 1263, 1032, 861, 1000
265, 2098, 1667, 455, 1000
974, 3662, 214, 901, 1000
134, 774, 27, 456, 1000
1093, 762, 231, 393, 1000
1174, 132, 1410, 1293, 1000
1557, 1892, 588, 840, 1000
2205, 2903, 873, 1191, 1000
1681, 481, 998, 631, 1000
1231, 47, 1271, 654, 1000
90, 455, 1006, 595, 1000
31, 572, 412, 1206, 1000
585, 667, 855, 728, 1000
851, 1728, 511, 543, 1000
380, 1839, 1545, 1106, 1000
574, 1197, 2050, 892, 1000
1130, 1116, 2012, 1006, 1000
449, 391, 1169, 591, 1000
4990, 156, 842, 1857, 1000
3681, 2846, 1063, 477, 1000
96, 1210, 2328, 1050, 1000
1798, 122, 1020, 1389, 1000
993, 1166, 1199, 1131, 1000
1182, 1791, 1075, 366, 1000
1179, 967, 946, 1907, 1000
2129, 1148, 974, 1469, 1000
2288, 1568, 1211, 1823, 1000
546, 824, 602, 610, 1000
832, 192, 1501, 1560, 1000
949, 2008, 1017, 1501, 1000
419, 925, 664, 1098, 1000
6524, 1022, 1716, 779, 1000
5729, 1077, 711, 1016, 1000
925, 1151, 306, 1887, 1000
951, 1237, 1296, 954, 1000
666, 824, 535, 364, 1000
258, 2194, 387, 759, 1000
1369, 1633, 862, 937, 1000
195, 1647, 1372, 569, 1000
201, 1716, 1200, 1399, 1000
459, 830, 454, 783, 1000
954, 203, 1062, 1219, 1000
1793, 1210, 143, 574, 1000
420, 634, 1584, 260, 1000
395, 1550, 1722, 1029, 1000
